scope,source_file,line,function_or_clickable,recommended_icon_path,exists,source_line
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/core/scroll-to-top/scroll-to-top.html,8,return-to-top,layers/website/home/actions/return-to-top.svg,no,"<button class=""scroll-to-top"" type=""button"" aria-label=""Return to top"" data-scroll-to-top>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/footer/office-footer.html,15,dashboard,layers/website/home/actions/dashboard.svg,no,"<a href=""/office/pages/internal-correspondence/"">Dashboard</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/footer/office-footer.html,16,signatures,layers/website/home/actions/signatures.svg,no,"<a href=""/office/pages/internal-correspondence/signatures/"">Signatures</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/footer/office-footer.html,17,memos,layers/website/home/actions/memos.svg,no,"<a href=""/office/pages/internal-correspondence/memos/"">Memos</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/footer/office-footer.html,18,letters,layers/website/home/actions/letters.svg,no,"<a href=""/office/pages/internal-correspondence/letters/"">Letters</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/footer/office-footer.html,19,templates,layers/website/home/actions/templates.svg,no,"<a href=""/office/pages/internal-correspondence/templates/"">Templates</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/menu/office-menu.html,4,neuroartan-office-dashboard,layers/website/navigation/actions/neuroartan-office-dashboard.svg,yes,"<a class=""office-menu__brand"" href=""/office/pages/internal-correspondence/"" aria-label=""Neuroartan Office dashboard"">Neuroartan Office</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/menu/office-menu.html,9,dashboard,layers/website/navigation/actions/dashboard.svg,no,"<a class=""office-menu__link"" href=""/office/pages/internal-correspondence/"" data-office-route=""dashboard"">Dashboard</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/menu/office-menu.html,10,signatures,layers/website/navigation/actions/signatures.svg,no,"<a class=""office-menu__link"" href=""/office/pages/internal-correspondence/signatures/"" data-office-route=""signatures"">Signatures</a>"
website,/Users/artan/Documents/Neuroartan/website/docs/assets/fragments/layers/office/menu/office-menu.html,11,memos,layers/website/navigation/actions/memos.svg,no,"<a class=""office-menu__link"" href=""/office/pages/internal-correspondence/memos/"" data-office-route=""memos"">Memos</a>"
